21:57:28.507 -> Timestamp: 437709 ms, Data = 60 bytes, # = 2338
21:57:28.507 -> Timestamp: 437711 ms, Data = 60 bytes, # = 2339
21:57:28.507 -> Timestamp: 437713 ms, Data = 60 bytes, # = 2340
21:57:28.507 -> Timestamp: 437715 ms, Data = 60 bytes, # = 2341
21:57:28.507 -> Timestamp: 437718 ms, Data = 60 bytes, # = 2342
21:57:28.552 -> Timestamp: 437720 ms, Data = 60 bytes, # = 2343
21:57:28.552 -> Timestamp: 437722 ms, Data = 60 bytes, # = 2344
21:57:28.552 -> Timestamp: 437724 ms, Data = 60 bytes, # = 2345
21:57:28.552 -> Timestamp: 437726 ms, Data = 60 bytes, # = 2346
21:57:28.552 -> Timestamp: 437728 ms, Data = 60 bytes, # = 2347
21:57:28.552 -> Timestamp: 437730 ms, Data = 60 bytes, # = 2348
21:57:28.552 -> Timestamp: 437732 ms, Data = 60 bytes, # = 2349
21:57:28.552 -> Timestamp: 437734 ms, Data = 60 bytes, # = 2350
21:57:28.552 -> Timestamp: 437736 ms, Data = 60 bytes, # = 2351
21:57:28.552 -> Timestamp: 437739 ms, Data = 60 bytes, # = 2352
21:57:28.552 -> Timestamp: 437741 ms, Data = 60 bytes, # = 2353
21:57:28.552 -> Timestamp: 437743 ms, Data = 60 bytes, # = 2354
21:57:28.552 -> Timestamp: 437745 ms, Data = 60 bytes, # = 2355
21:57:28.552 -> Timestamp: 437747 ms, Data = 60 bytes, # = 2356
21:57:28.552 -> Timestamp: 437749 ms, Data = 60 bytes, # = 2357
21:57:28.552 -> Timestamp: 437751 ms, Data = 60 bytes, # = 2358
21:57:28.552 -> Timestamp: 437753 ms, Data = 60 bytes, # = 2359
21:57:28.552 -> Timestamp: 437755 ms, Data = 60 bytes, # = 2360
21:57:28.552 -> Timestamp: 437758 ms, Data = 60 bytes, # = 2361
21:57:28.552 -> Timestamp: 437760 ms, Data = 60 bytes, # = 2362
21:57:28.552 -> Timestamp: 437762 ms, Data = 60 bytes, # = 2363
21:57:28.552 -> Timestamp: 437764 ms, Data = 60 bytes, # = 2364
21:57:28.598 -> Timestamp: 437766 ms, Data = 60 bytes, # = 2365
21:57:28.598 -> Timestamp: 437768 ms, Data = 60 bytes, # = 2366
21:57:28.598 -> Timestamp: 437770 ms, Data = 60 bytes, # = 2367
21:57:28.598 -> Timestamp: 437772 ms, Data = 60 bytes, # = 2368
21:57:28.598 -> Timestamp: 437774 ms, Data = 60 bytes, # = 2369
21:57:28.598 -> Timestamp: 437776 ms, Data = 60 bytes, # = 2370
21:57:28.598 -> Timestamp: 437778 ms, Data = 60 bytes, # = 2371
21:57:28.598 -> Timestamp: 437780 ms, Data = 60 bytes, # = 2372
21:57:28.598 -> Timestamp: 437782 ms, Data = 60 bytes, # = 2373
21:57:28.598 -> Timestamp: 437784 ms, Data = 60 bytes, # = 2374
21:57:28.598 -> Timestamp: 437786 ms, Data = 60 bytes, # = 2375
21:57:28.598 -> Timestamp: 437788 ms, Data = 60 bytes, # = 2376
21:57:28.598 -> Timestamp: 437790 ms, Data = 60 bytes, # = 2377
21:57:28.598 -> Timestamp: 437792 ms, Data = 60 bytes, # = 2378
21:57:28.598 -> Timestamp: 437795 ms, Data = 60 bytes, # = 2379
21:57:28.598 -> Timestamp: 437797 ms, Data = 60 bytes, # = 2380
21:57:28.598 -> Timestamp: 437799 ms, Data = 60 bytes, # = 2381
21:57:28.598 -> Timestamp: 437801 ms, Data = 60 bytes, # = 2382
21:57:28.598 -> Timestamp: 437803 ms, Data = 60 bytes, # = 2383
21:57:28.598 -> Timestamp: 437805 ms, Data = 60 bytes, # = 2384
21:57:28.598 -> Timestamp: 437808 ms, Data = 60 bytes, # = 2385
21:57:28.598 -> Timestamp: 437810 ms, Data = 60 bytes, # = 2386
21:57:28.644 -> Timestamp: 437812 ms, Data = 60 bytes, # = 2387
21:57:28.644 -> Timestamp: 437814 ms, Data = 60 bytes, # = 2388
21:57:28.644 -> Timestamp: 437816 ms, Data = 60 bytes, # = 2389
21:57:28.644 -> Timestamp: 437818 ms, Data = 60 bytes, # = 2390
21:57:28.644 -> Timestamp: 437820 ms, Data = 60 bytes, # = 2391
21:57:28.644 -> Timestamp: 437823 ms, Data = 60 bytes, # = 2392
21:57:28.644 -> Timestamp: 437825 ms, Data = 60 bytes, # = 2393
21:57:28.644 -> Timestamp: 437827 ms, Data = 60 bytes, # = 2394
21:57:28.644 -> Timestamp: 437829 ms, Data = 60 bytes, # = 2395
21:57:28.644 -> Timestamp: 437831 ms, Data = 60 bytes, # = 2396
21:57:28.644 -> Timestamp: 437833 ms, Data = 60 bytes, # = 2397
21:57:28.644 -> Timestamp: 437835 ms, Data = 60 bytes, # = 2398
21:57:28.644 -> Timestamp: 437838 ms, Data = 60 bytes, # = 2399
21:57:28.644 -> Timestamp: 437840 ms, Data = 60 bytes, # = 2400
